PARIDAD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Envase,,,,,,,,
tapa,,,,,,,,
etiquetado,,,,,,,,
Empaque 1°,,,,,,,,
Embalaje,Embalaje Kg,,,,,,,
,Tarima Kg,,,,,,,
4 lts a 57 lts,,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.125,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.35,IVISA / Lt,IVISA,0.25,IVISA / Lt,IVISA,0.45,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.1,Supervisión / Lt,Supervición,0.065,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
60 lts a 239.4 lts,,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.125,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.345,IVISA / Lt,IVISA,0.245,IVISA / Lt,IVISA,0.4,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.1,Supervisión / Lt,Supervición,0.065,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
240 lts a 497.8 lts,,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.125,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.34,IVISA / Lt,IVISA,0.24,IVISA / Lt,IVISA,0.35,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.09,Supervisión / Lt,Supervición,0.055,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
500 lts a 748.6 lts,,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.125,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.335,IVISA / Lt,IVISA,0.235,IVISA / Lt,IVISA,0.3,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.08,Supervisión / Lt,Supervición,0.045,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
750 lts a 999.4 lts,,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.125,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.33,IVISA / Lt,IVISA,0.23,IVISA / Lt,IVISA,0.25,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.07,Supervisión / Lt,Supervición,0.035,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
"1,000 lts a 1,500 lts",,,,,,,,
STANDART,,,GENÉRICO,,,PREMIUM,,
Publicidad,0.1,Publicidad / Lt,Publicidad,0.12,Publicidad / Lt,Publicidad,0.125,Publicidad / Lt
IVISA,0.325,IVISA / Lt,IVISA,0.225,IVISA / Lt,IVISA,0.2,IVISA / Lt
Asociado,0.55,Asociado / Lt,Asociado,0.35,Asociado / Lt,Asociado,0.65,Asociado / Lt
Supervición,0.07,Supervisión / Lt,Supervición,0.035,Supervisión / Lt,Supervición,0.1,Supervisión / Lt
,,,,,,,,
PRORRATEABLES,,,,,,,,
Operaciones,0.1,Operaciones / lt,,,,,,
Mantenimiento,0.02,Mantto / Lt,,,,,,
Equipamiento,0.03,Equipamiento / Lt,,,,,,
Traslados,0.1,Traslados / Lt,,,,,,
Administrativos,0.15,Administrativos / Lt,,,,,,
Operativos,0.15,Operativos / Lt,,,,,,
